Date,Year,Quarter,Year Quarter,Fuel Type,Price cpl
2010-01-01,2010,Q1,2010 Q1,Automotive LPG,62
2010-01-01,2010,Q1,2010 Q1,Automotive diesel,125
2010-01-01,2010,Q1,2010 Q1,Premium unleaded petrol (95 RON),136
2010-01-01,2010,Q1,2010 Q1,Regular unleaded petrol (91 RON),126
2010-04-01,2010,Q2,2010 Q2,Automotive LPG,60
2010-04-01,2010,Q2,2010 Q2,Automotive diesel,130
2010-04-01,2010,Q2,2010 Q2,Premium unleaded petrol (95 RON),139
2010-04-01,2010,Q2,2010 Q2,Regular unleaded petrol (91 RON),129
2010-07-01,2010,Q3,2010 Q3,Automotive LPG,54
2010-07-01,2010,Q3,2010 Q3,Automotive diesel,128
2010-07-01,2010,Q3,2010 Q3,Premium unleaded petrol (95 RON),135
2010-07-01,2010,Q3,2010 Q3,Regular unleaded petrol (91 RON),124
2010-10-01,2010,Q4,2010 Q4,Automotive LPG,61
2010-10-01,2010,Q4,2010 Q4,Automotive diesel,129
2010-10-01,2010,Q4,2010 Q4,Premium unleaded petrol (95 RON),136
2010-10-01,2010,Q4,2010 Q4,Regular unleaded petrol (91 RON),126
2011-01-01,2011,Q1,2011 Q1,Automotive LPG,73
2011-01-01,2011,Q1,2011 Q1,Automotive diesel,142
2011-01-01,2011,Q1,2011 Q1,Premium unleaded petrol (95 RON),148
2011-01-01,2011,Q1,2011 Q1,Regular unleaded petrol (91 RON),137
2011-04-01,2011,Q2,2011 Q2,Automotive LPG,72
2011-04-01,2011,Q2,2011 Q2,Automotive diesel,151
2011-04-01,2011,Q2,2011 Q2,Premium unleaded petrol (95 RON),154
2011-04-01,2011,Q2,2011 Q2,Regular unleaded petrol (91 RON),143
2011-07-01,2011,Q3,2011 Q3,Automotive LPG,69
2011-07-01,2011,Q3,2011 Q3,Automotive diesel,146
2011-07-01,2011,Q3,2011 Q3,Premium unleaded petrol (95 RON),152
2011-07-01,2011,Q3,2011 Q3,Regular unleaded petrol (91 RON),142
2011-10-01,2011,Q4,2011 Q4,Automotive LPG,68
2011-10-01,2011,Q4,2011 Q4,Automotive diesel,149
2011-10-01,2011,Q4,2011 Q4,Premium unleaded petrol (95 RON),154
2011-10-01,2011,Q4,2011 Q4,Regular unleaded petrol (91 RON),142
2012-01-01,2012,Q1,2012 Q1,Automotive LPG,75
2012-01-01,2012,Q1,2012 Q1,Automotive diesel,150
2012-01-01,2012,Q1,2012 Q1,Premium unleaded petrol (95 RON),156
2012-01-01,2012,Q1,2012 Q1,Regular unleaded petrol (91 RON),145
2012-04-01,2012,Q2,2012 Q2,Automotive LPG,73
2012-04-01,2012,Q2,2012 Q2,Automotive diesel,152
2012-04-01,2012,Q2,2012 Q2,Premium unleaded petrol (95 RON),158
2012-04-01,2012,Q2,2012 Q2,Regular unleaded petrol (91 RON),146
2012-07-01,2012,Q3,2012 Q3,Automotive LPG,63
2012-07-01,2012,Q3,2012 Q3,Automotive diesel,146
2012-07-01,2012,Q3,2012 Q3,Premium unleaded petrol (95 RON),152
2012-07-01,2012,Q3,2012 Q3,Regular unleaded petrol (91 RON),139
2012-10-01,2012,Q4,2012 Q4,Automotive LPG,75
2012-10-01,2012,Q4,2012 Q4,Automotive diesel,150
2012-10-01,2012,Q4,2012 Q4,Premium unleaded petrol (95 RON),153
2012-10-01,2012,Q4,2012 Q4,Regular unleaded petrol (91 RON),142
2013-01-01,2013,Q1,2013 Q1,Automotive LPG,70
2013-01-01,2013,Q1,2013 Q1,Automotive diesel,150
2013-01-01,2013,Q1,2013 Q1,Premium unleaded petrol (95 RON),155
2013-01-01,2013,Q1,2013 Q1,Regular unleaded petrol (91 RON),145
2013-04-01,2013,Q2,2013 Q2,Automotive LPG,64
2013-04-01,2013,Q2,2013 Q2,Automotive diesel,146
2013-04-01,2013,Q2,2013 Q2,Premium unleaded petrol (95 RON),151
2013-04-01,2013,Q2,2013 Q2,Regular unleaded petrol (91 RON),141
2013-07-01,2013,Q3,2013 Q3,Automotive LPG,73
2013-07-01,2013,Q3,2013 Q3,Automotive diesel,155
2013-07-01,2013,Q3,2013 Q3,Premium unleaded petrol (95 RON),160
2013-07-01,2013,Q3,2013 Q3,Regular unleaded petrol (91 RON),150
2013-10-01,2013,Q4,2013 Q4,Automotive LPG,80
2013-10-01,2013,Q4,2013 Q4,Automotive diesel,159
2013-10-01,2013,Q4,2013 Q4,Premium unleaded petrol (95 RON),159
2013-10-01,2013,Q4,2013 Q4,Regular unleaded petrol (91 RON),148
2014-01-01,2014,Q1,2014 Q1,Automotive LPG,89
2014-01-01,2014,Q1,2014 Q1,Automotive diesel,161
2014-01-01,2014,Q1,2014 Q1,Premium unleaded petrol (95 RON),165
2014-01-01,2014,Q1,2014 Q1,Regular unleaded petrol (91 RON),154
2014-04-01,2014,Q2,2014 Q2,Automotive LPG,77
2014-04-01,2014,Q2,2014 Q2,Automotive diesel,158
2014-04-01,2014,Q2,2014 Q2,Premium unleaded petrol (95 RON),162
2014-04-01,2014,Q2,2014 Q2,Regular unleaded petrol (91 RON),151
2014-07-01,2014,Q3,2014 Q3,Automotive LPG,74
2014-07-01,2014,Q3,2014 Q3,Automotive diesel,155
2014-07-01,2014,Q3,2014 Q3,Premium unleaded petrol (95 RON),157
2014-07-01,2014,Q3,2014 Q3,Regular unleaded petrol (91 RON),147
2014-10-01,2014,Q4,2014 Q4,Automotive LPG,70
2014-10-01,2014,Q4,2014 Q4,Automotive diesel,147
2014-10-01,2014,Q4,2014 Q4,Premium unleaded petrol (95 RON),147
2014-10-01,2014,Q4,2014 Q4,Regular unleaded petrol (91 RON),136
2015-01-01,2015,Q1,2015 Q1,Automotive LPG,60
2015-01-01,2015,Q1,2015 Q1,Automotive diesel,129
2015-01-01,2015,Q1,2015 Q1,Premium unleaded petrol (95 RON),131
2015-01-01,2015,Q1,2015 Q1,Regular unleaded petrol (91 RON),120
2015-04-01,2015,Q2,2015 Q2,Automotive LPG,59
