Year,Date,Import Share,Series,Label
2011,2011-01-01,0.6791,Actual,2011
2012,2012-01-01,0.6903,Actual,2012
2013,2013-01-01,0.7303,Actual,2013
2014,2014-01-01,0.7171,Actual,2014
2015,2015-01-01,0.7358,Actual,2015
2016,2016-01-01,0.7616,Actual,2016
2017,2017-01-01,0.7879,Actual,2017
2018,2018-01-01,0.7840,Actual,2018
2019,2019-01-01,0.7332,Actual,2019
2020,2020-01-01,0.7046,Actual,2020
2021,2021-01-01,0.7279,Actual,2021
2022,2022-01-01,0.7564,Actual,2022
2023,2023-01-01,0.7895,Actual,2023
2024,2024-01-01,0.7970,Actual,2024
2025,2025-01-01,0.8149,Actual,2025 actual
2025,2025-01-01,0.8149,Projection,Projection starts
2026,2026-01-01,0.8246,Projection,2026 projected
2027,2027-01-01,0.8343,Projection,2027 projected
2028,2028-01-01,0.8440,Projection,2028 projected
2029,2029-01-01,0.8537,Projection,2029 projected
2030,2030-01-01,0.8634,Projection,2030 projected
