Month,Daily net imports kt/day,IEA days cover,Benchmark days
2010-07-01,55.9,90.0,90
2010-08-01,55.9,89.0,90
2010-09-01,55.9,89.0,90
2010-10-01,55.9,87.0,90
2010-11-01,55.9,88.0,90
2010-12-01,53.2,84.0,90
2011-01-01,53.2,90.0,90
2011-02-01,53.2,91.0,90
2011-03-01,53.2,92.0,90
2011-04-01,53.2,90.0,90
2011-05-01,53.2,93.0,90
2011-06-01,53.2,91.0,90
2011-07-01,53.2,94.0,90
2011-08-01,53.2,97.0,90
2011-09-01,53.2,90.0,90
2011-10-01,53.2,86.0,90
2011-11-01,53.2,92.0,90
2011-12-01,53.2,91.0,90
2012-01-01,53.2,88.0,90
2012-02-01,53.2,90.0,90
2012-03-01,53.2,88.0,90
2012-04-01,65.7,78.0,90
2012-05-01,65.7,77.0,90
2012-06-01,65.7,73.0,90
2012-07-01,65.7,73.0,90
2012-08-01,65.7,75.0,90
2012-09-01,65.7,77.0,90
2012-10-01,65.7,68.0,90
2012-11-01,65.7,62.0,90
2012-12-01,65.7,67.0,90
2013-01-01,65.7,66.0,90
2013-02-01,65.7,69.0,90
2013-03-01,65.7,68.0,90
2013-04-01,74.0,62.0,90
2013-05-01,74.0,60.0,90
2013-06-01,74.0,64.0,90
2013-07-01,74.0,63.0,90
2013-08-01,74.0,61.0,90
2013-09-01,74.0,59.0,90
2013-10-01,74.0,55.0,90
2013-11-01,74.0,57.0,90
2013-12-01,74.0,59.0,90
2014-01-01,74.0,59.0,90
2014-02-01,74.0,58.0,90
2014-03-01,74.0,59.0,90
2014-04-01,82.0,52.0,90
2014-05-01,82.0,54.0,90
2014-06-01,82.0,53.0,90
2014-07-01,82.0,53.0,90
2014-08-01,82.0,55.0,90
2014-09-01,82.0,55.0,90
2014-10-01,82.0,50.0,90
2014-11-01,82.0,49.0,90
2014-12-01,82.0,52.0,90
2015-01-01,82.0,53.0,90
2015-02-01,82.0,53.0,90
2015-03-01,82.0,50.0,90
2015-04-01,76.4,55.0,90
2015-05-01,76.4,52.0,90
2015-06-01,76.4,56.0,90
2015-07-01,76.4,55.0,90
2015-08-01,76.4,57.0,90
2015-09-01,76.4,56.0,90
2015-10-01,76.4,56.0,90
2015-11-01,76.4,50.0,90
2015-12-01,76.4,53.0,90
2016-01-01,76.4,57.0,90
2016-02-01,76.4,57.0,90
2016-03-01,76.4,58.0,90
2016-04-01,81.2,52.0,90
2016-05-01,81.2,56.0,90
2016-06-01,81.2,56.0,90
2016-07-01,81.2,57.0,90
2016-08-01,81.2,54.0,90
2016-09-01,81.2,54.0,90
2016-10-01,81.2,51.0,90
2016-11-01,81.2,47.0,90
2016-12-01,81.2,49.0,90
2017-01-01,81.2,48.0,90
2017-02-01,81.2,48.0,90
2017-03-01,81.2,48.0,90
2017-04-01,85.5,50.0,90
2017-05-01,85.5,50.0,90
2017-06-01,85.5,48.0,90
2017-07-01,85.5,45.0,90
2017-08-01,85.5,46.0,90
2017-09-01,85.5,46.0,90
2017-10-01,85.5,47.0,90
2017-11-01,85.5,45.0,90
2017-12-01,85.5,47.0,90
2018-01-01,85.5,53.0,90
2018-02-01,85.5,56.0,90
2018-03-01,85.5,56.0,90
2018-04-01,96.0,52.0,90
2018-05-01,96.0,52.0,90
2018-06-01,96.0,53.0,90
2018-07-01,96.0,54.0,90
2018-08-01,96.0,52.0,90
2018-09-01,96.0,54.0,90
2018-10-01,96.0,55.0,90
2018-11-01,96.0,50.0,90
2018-12-01,96.0,53.0,90
2019-01-01,96.0,54.0,90
2019-02-01,96.0,56.0,90
2019-03-01,96.0,58.0,90
2019-04-01,97.5,58.0,90
2019-05-01,97.5,60.0,90
2019-06-01,97.5,59.0,90
2019-07-01,97.5,58.0,90
2019-08-01,97.5,57.0,90
2019-09-01,97.5,57.0,90
2019-10-01,97.5,54.0,90
2019-11-01,97.5,54.0,90
2019-12-01,97.5,55.0,90
2020-01-01,97.5,55.0,90
2020-02-01,97.5,56.0,90
2020-03-01,97.5,56.0,90
2020-04-01,89.0,61.0,90
2020-05-01,89.0,60.0,90
2020-06-01,89.0,61.0,90
2020-07-01,89.0,63.0,90
2020-08-01,89.0,65.0,90
2020-09-01,89.0,61.0,90
2020-10-01,89.0,62.0,90
2020-11-01,89.0,63.0,90
2020-12-01,89.0,60.0,90
2021-01-01,89.0,69.0,90
2021-02-01,89.0,64.0,90
2021-03-01,89.0,65.0,90
2021-04-01,70.9,79.0,90
2021-05-01,70.9,72.0,90
2021-06-01,70.9,75.0,90
2021-07-01,70.9,75.0,90
2021-08-01,70.9,77.0,90
2021-09-01,70.9,72.0,90
2021-10-01,70.9,73.0,90
2021-11-01,70.9,69.0,90
2021-12-01,70.9,68.0,90
2022-01-01,70.9,69.0,90
2022-02-01,70.9,76.0,90
2022-03-01,70.9,72.0,90
2022-04-01,78.8,63.0,90
2022-05-01,78.8,64.0,90
2022-06-01,78.8,59.0,90
2022-07-01,78.8,58.0,90
2022-08-01,78.8,60.0,90
2022-09-01,78.8,54.0,90
2022-10-01,78.8,63.0,90
2022-11-01,78.8,62.0,90
2022-12-01,78.8,59.0,90
2023-01-01,78.8,62.0,90
2023-02-01,78.8,62.0,90
2023-03-01,78.8,61.0,90
2023-04-01,89.9,52.0,90
2023-05-01,89.9,51.0,90
2023-06-01,89.9,52.0,90
2023-07-01,89.9,55.0,90
2023-08-01,89.9,54.0,90
2023-09-01,89.9,53.0,90
2023-10-01,89.9,53.0,90
2023-11-01,89.9,50.0,90
2023-12-01,89.9,54.0,90
2024-01-01,89.9,54.0,90
2024-02-01,89.9,58.0,90
2024-03-01,89.9,54.0,90
2024-04-01,99.7,49.0,90
2024-05-01,99.7,50.0,90
2024-06-01,99.7,52.0,90
2024-07-01,99.7,51.0,90
2024-08-01,99.7,51.0,90
2024-09-01,99.7,50.0,90
2024-10-01,99.7,48.0,90
2024-11-01,99.7,46.0,90
2024-12-01,99.7,49.0,90
2025-01-01,99.7,54.0,90
2025-02-01,99.7,55.0,90
2025-03-01,99.7,56.0,90
2025-04-01,102.8,50.0,90
2025-05-01,102.8,48.0,90
2025-06-01,102.8,47.0,90
2025-07-01,102.8,49.0,90
2025-08-01,102.8,49.0,90
2025-09-01,102.8,53.0,90
2025-10-01,102.8,48.0,90
2025-11-01,102.8,46.0,90
2025-12-01,102.8,50.0,90
