Year,Year Date,Source,Volume BL,Share,Source Order,Import Production Ratio
2011,2011-01-01,Imports,50.5158,0.6791,1,2.12
2011,2011-01-01,Domestic production,23.8680,0.3209,2,2.12
2012,2012-01-01,Imports,52.5932,0.6903,1,2.23
2012,2012-01-01,Domestic production,23.5910,0.3097,2,2.23
2013,2013-01-01,Imports,52.5965,0.7303,1,2.71
2013,2013-01-01,Domestic production,19.4200,0.2697,2,2.71
2014,2014-01-01,Imports,51.9790,0.7171,1,2.54
2014,2014-01-01,Domestic production,20.5030,0.2829,2,2.54
2015,2015-01-01,Imports,52.0707,0.7358,1,2.78
2015,2015-01-01,Domestic production,18.7010,0.2642,2,2.78
2016,2016-01-01,Imports,53.8557,0.7616,1,3.19
2016,2016-01-01,Domestic production,16.8570,0.2384,2,3.19
2017,2017-01-01,Imports,56.7573,0.7879,1,3.72
2017,2017-01-01,Domestic production,15.2750,0.2121,2,3.72
2018,2018-01-01,Imports,59.4741,0.7840,1,3.63
2018,2018-01-01,Domestic production,16.3850,0.2160,2,3.63
2019,2019-01-01,Imports,57.5039,0.7332,1,2.75
2019,2019-01-01,Domestic production,20.9290,0.2668,2,2.75
2020,2020-01-01,Imports,48.7520,0.7046,1,2.38
2020,2020-01-01,Domestic production,20.4430,0.2954,2,2.38
2021,2021-01-01,Imports,51.9861,0.7279,1,2.68
2021,2021-01-01,Domestic production,19.4330,0.2721,2,2.68
2022,2022-01-01,Imports,56.0267,0.7564,1,3.10
2022,2022-01-01,Domestic production,18.0450,0.2436,2,3.10
2023,2023-01-01,Imports,61.0323,0.7895,1,3.75
2023,2023-01-01,Domestic production,16.2690,0.2105,2,3.75
2024,2024-01-01,Imports,61.7781,0.7970,1,3.93
2024,2024-01-01,Domestic production,15.7310,0.2030,2,3.93
2025,2025-01-01,Imports,62.6745,0.8149,1,4.40
2025,2025-01-01,Domestic production,14.2360,0.1851,2,4.40
